cluster,n,top_terms
0,56,"kaiser, de, que, kaiser es, de kaiser, un, no, en, es, el, la, se"
1,157,"kast, que, de, el, la, es, no, en, se, los, lo, de kast"
2,235,"que, de, la, el, es, en, un, los, lo, se, no, con"
3,270,"de, que, la, el, es, en, los, no, lo, si, un, por"
4,201,"que, de, por, la, es, en, no, los, el, pero, votar, matthei"
5,19,"format, auto webp, webp, auto, https preview, redd, redd it, preview redd, preview, width, it, pjpg auto"
6,159,"que, la, de, es, el, izquierda, no, en, los, la izquierda, lo, comunista"
7,98,"jara, que, de, no, la, que jara, el, es, kast, si, se, los"
8,237,"que, de, no, la, en, el, es, se, los, un, con, por"
9,106,"chile, de, que, la, en, el, es, no, de chile, los, un, por"
10,4,"gotera estos, metodológicas con, publicada por, emol impecables, precisión, precisión de, por emol, credenciales metodológicas, una gotera, metodológicas, publicada, gotera"
