post_id,user_id,timestamp,parent_id,parent_user_id,parent_bloc,bloc,ideology,candidate,frame,strategy,emotion,sentiment,adversary_target,text,is_attack,is_reply,thread_depth,comment_position,time_of_day,day_of_week,is_weekend,campaign_phase,pre_first_round
post_000001,user_00039,2025-08-01,,,,Right-Radical-Conservative,0.9624576864762916,,security/crime,call-to-action,fear,negative,the right,Everyone needs to vote against the right. | security violence crime,0,0,0,0,0,4,0,pre-break,1
post_000003,user_00313,2025-08-01,,,,Right-Radical-Conservative,0.6705547350244438,Jara,corruption,ridicule,anger,negative,the left,the left is hilarious. Not. | Jara must act! | corruption scandal,0,0,0,0,0,4,0,pre-break,1
post_000005,user_02657,2025-08-01,,,,Right-Radical-Conservative,0.515103324373215,,security/crime,defense,hope,positive,judiciary,judiciary is right. Evidence shows they're doing what's needed. | security violence crime | hope optimistic confident,0,0,0,0,0,4,0,pre-break,1
reply_000006,user_04464,2025-08-01,post_000003,user_00313,Right-Radical-Conservative,Right-Libertarian,-0.5646839159722519,,economy,defense,joy,positive,the right,Support the right - they represent our values and our movement. | economy jobs inflation | great excellent fantastic,0,1,1,0,0,4,0,pre-break,1
post_000008,user_02862,2025-08-01,,,,Right-Libertarian,1.0,Kast,culture/values,attack,anger,negative,judiciary,Wake up! judiciary is a threat to everything we stand for. | Kast must be stopped! | values family tradition | outrage furious enraged,1,0,0,0,0,4,0,pre-break,1
reply_000009,user_00878,2025-08-01,post_000008,user_02862,Right-Libertarian,Right-Traditional,0.6387553058411274,Jara,economy,defense,pride,positive,police,We must support police because they fight for our side. | Support Jara! | economy jobs inflation,0,1,1,0,0,4,0,pre-break,1
post_000011,user_00651,2025-08-01,,,,Right-Traditional,0.4579666184416197,Jara,security/crime,defense,hope,positive,elites,Support elites - they represent our values and our movement. | Support Jara! | security violence crime | hope optimistic confident,0,0,0,0,0,4,0,pre-break,1
post_000013,user_01714,2025-08-02,,,,Right-Traditional,0.743289477455416,Kast,economy,attack,contempt,negative,the left,the left is destroying our country! Cope harder. | Kast must be stopped! | economy jobs inflation | contemptible beneath us,1,0,0,0,0,5,1,pre-break,1
post_000015,user_01118,2025-08-02,,,,Right-Traditional,0.4696065235367922,Kaiser,security/crime,defense,neutral,neutral,none,Support none - they represent our values and our movement. | Support Kaiser! | security violence crime,0,0,0,0,0,5,1,pre-break,1
post_000017,user_00781,2025-08-02,,,,Right-Libertarian,0.4930956400337378,Jara,immigration,identity-boundary,pride,positive,police,Real Chileans support police. | Jara must act! | immigration borders | proud support victory,0,0,0,0,0,5,1,pre-break,1
reply_000018,user_00880,2025-08-02,post_000015,user_01118,Right-Traditional,Right-Radical-Conservative,0.6715745239007376,Jara,security/crime,attack,disgust,negative,traitors within right,traitors within right represents everything wrong. LOL at their agenda. | Jara must be stopped! | security violence crime | disgusting appalling repulsive,1,1,1,0,0,5,1,pre-break,1
reply_000019,user_00410,2025-08-02,post_000017,user_00781,Right-Libertarian,Right-Libertarian,0.33297141967399535,Kast,immigration,defense,pride,positive,elites,elites is fighting for us. We need to back them up. | Support Kast! | immigration borders,0,1,1,0,0,5,1,pre-break,1
post_000021,user_02046,2025-08-02,,,,Right-Libertarian,0.434135925127726,,culture/values,ridicule,disgust,negative,the left,"the left is a joke, honestly. /s They're so serious. | values family tradition | disgusting appalling repulsive",0,0,0,0,0,5,1,pre-break,1
reply_000022,user_04491,2025-08-03,reply_000006,user_04464,Right-Libertarian,Right-Traditional,0.892105058695127,Matthei,economy,ridicule,disgust,negative,police,Can you believe police said that? Pathetic. | Matthei must act! | economy jobs inflation | disgusting appalling repulsive,0,1,2,0,0,6,1,pre-break,1
reply_000023,user_04520,2025-08-03,post_000021,user_02046,Right-Libertarian,Right-Traditional,0.6319147914813315,Kast,culture/values,defense,hope,positive,elites,We must support elites because they fight for our side. | Support Kast! | values family tradition | hope optimistic confident,0,1,1,0,0,6,1,pre-break,1
reply_000024,user_03886,2025-08-03,reply_000022,user_04491,Right-Traditional,Left,-0.7098721333419689,,democracy/institutions,defense,hope,positive,traitors within right,Support traitors within right - they represent our values and our movement. | democracy institutions | hope optimistic confident,0,1,3,0,0,6,1,pre-break,1
reply_000025,user_04724,2025-08-03,post_000021,user_02046,Right-Libertarian,Right-Radical-Conservative,0.6029744910095365,Jara,immigration,attack,contempt,negative,traitors within right,We cannot allow traitors within right to continue this madness. You people are pathetic. | Jara must be stopped! | immigration borders,1,1,1,1,0,6,1,pre-break,1
reply_000026,user_00269,2025-08-04,post_000013,user_01714,Right-Traditional,Right-Radical-Conservative,-0.588753998119868,,security/crime,identity-boundary,pride,positive,the left,"This is about our values, not the left's agenda. | security violence crime | proud support victory",0,1,1,0,0,0,0,pre-break,1
post_000028,user_02564,2025-08-04,,,,Right-Traditional,0.9151441643401033,,corruption,call-to-action,pride,positive,PC,Everyone needs to vote against PC. | corruption scandal | proud support victory,0,0,0,0,0,0,0,pre-break,1
post_000030,user_00954,2025-08-04,,,,Right-Traditional,0.6879961636185641,,corruption,defense,sadness,negative,traitors within right,We must support traitors within right because they fight for our side. | corruption scandal | sad disappointed devastated,0,0,0,0,0,0,0,pre-break,1
reply_000031,user_03487,2025-08-04,post_000008,user_02862,Right-Libertarian,Right-Libertarian,0.5064780933165545,Kast,security/crime,defense,sadness,negative,police,Stand with police! Our side needs unity against these attacks. | Support Kast! | security violence crime | sad disappointed devastated,0,1,1,1,0,0,0,pre-break,1
